capitulo;grupo;codigo;tipo;descricao
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J691;subcategoria;Pneumonite devida a óleos e essências
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J698;subcategoria;Pneumonite devida a outros sólidos e líquidos
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J70;categoria;Afecções respiratórias devida a outros agentes externos
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J700;subcategoria;Manifestações pulmonares agudas devidas à radiação
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J701;subcategoria;Manifestações pulmonares crônicas e outras, devidas a radiação
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J702;subcategoria;Transtornos pulmonares intersticiais agudos, induzidos por droga
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J703;subcategoria;Transtornos pulmonares intersticiais crônicos induzidos por droga
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J704;subcategoria;Transtornos pulmonar intersticial não especificado induzido por droga
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J708;subcategoria;Afecções respiratórias devidas a outros agentes externos especificados
Capítulo X - Doenças do aparelho respiratório;Doenças pulmonares devidas a agentes externos;J709;subcategoria;Afecções respiratórias devidas a agentes externos não especificados
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J80;categoria;Síndrome do desconforto respiratório do adulto
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J80;subcategoria;Síndrome do desconforto respiratório do adulto
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J81;categoria;Edema pulmonar, não especificado de outra forma
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J81;subcategoria;Edema pulmonar, não especificado de outra forma
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J82;categoria;Eosinofilia pulmonar, não classificada em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J82;subcategoria;Eosinofilia pulmonar, não classificada em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J84;categoria;Outras doenças pulmonares intersticiais
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J840;subcategoria;Afecções alveolares e parieto-alveolares
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J841;subcategoria;Outras doenças pulmonares intersticiais com fibrose
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J848;subcategoria;Outras doenças pulmonares intersticiais especificadas
Capítulo X - Doenças do aparelho respiratório;Outras doenças respiratórias que afetam principalmente o interstício;J849;subcategoria;Doença pulmonar intersticial não especificadas
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J85;categoria;Abscesso do pulmão e do mediastino
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J850;subcategoria;Gangrena e necrose do pulmão
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J851;subcategoria;Abscesso do pulmão com pneumonia
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J852;subcategoria;Abscesso do pulmão sem pneumonia
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J853;subcategoria;Abscesso do mediastino
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J86;categoria;Piotórax
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J860;subcategoria;Piotórax com fístula
Capítulo X - Doenças do aparelho respiratório;Afecções necróticas e supurativas das vias aéreas inferiores;J869;subcategoria;Piotórax sem fístula
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J90;categoria;Derrame pleural não classificado em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J90;subcategoria;Derrame pleural não classificado em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J91;categoria;Derrame pleural em afecções classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J91;subcategoria;Derrame pleural em afecções classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J92;categoria;Placas pleurais
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J920;subcategoria;Placas pleurais com presença de amianto [asbesto]
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J929;subcategoria;Placas pleurais sem presença de amianto [asbesto]
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J93;categoria;Pneumotórax
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J930;subcategoria;Pneumotórax de tensão, espontâneo
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J931;subcategoria;Outras formas de pneumotórax espontâneo
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J938;subcategoria;Outros tipos de pneumotórax, especificados
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J939;subcategoria;Pneumotórax não especificado
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J94;categoria;Outras afecções pleurais
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J940;subcategoria;Derrame quiloso ou quiliforme
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J941;subcategoria;Fibrotórax
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J942;subcategoria;Hemotórax
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J948;subcategoria;Outras afecções pleurais especificadas
Capítulo X - Doenças do aparelho respiratório;Outras doenças da pleura;J949;subcategoria;Afecção pleural não especificada
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J95;categoria;Afecções respiratórias pós-procedimentos não classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J950;subcategoria;Mau funcionamento de traqueostomia
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J951;subcategoria;Insuficiência pulmonar aguda subsequente a cirurgia torácica
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J952;subcategoria;Insuficiência pulmonar aguda subsequente a cirurgia não torácica
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J953;subcategoria;Insuficiência pulmonar crônica pós-cirúrgica
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J954;subcategoria;Síndrome de Mendelson
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J955;subcategoria;Estenose subglótica pós-procedimento
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J958;subcategoria;Outros transtornos respiratórios pós-procedimentos
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J959;subcategoria;Transtornos respiratórios pós-procedimentos não especificados
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J96;categoria;Insuficiência respiratória não classificada de outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J960;subcategoria;Insuficiência respiratória aguda
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J961;subcategoria;Insuficiência respiratória crônica
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J969;subcategoria;Insuficiência respiratória não especificada
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J98;categoria;Outros transtornos respiratórios
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J980;subcategoria;Outras doenças dos brônquios não classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J981;subcategoria;Colapso pulmonar
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J982;subcategoria;Enfisema intersticial
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J983;subcategoria;Enfisema compensatório
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J984;subcategoria;Outros transtornos pulmonares
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J985;subcategoria;Doenças do mediastino não classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J986;subcategoria;Transtornos do diafragma
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J988;subcategoria;Outros transtornos respiratórios especificados
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J989;subcategoria;Transtorno respiratório não especificados
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J99;categoria;Transtornos respiratórios em doenças classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J990;subcategoria;Doença pulmonar reumatóide
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J991;subcategoria;Transtornos respiratórios em outras doenças sistêmicas do tecido conjuntivo classificadas em outra parte
Capítulo X - Doenças do aparelho respiratório;Outras doenças do aparelho respiratório;J998;subcategoria;Transtornos respiratórios em outras doenças classificadas em outra parte
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K00;categoria;Distúrbios do desenvolvimento e da erupção dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K000;subcategoria;Anodontia
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K001;subcategoria;Dentes supranumerários
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K002;subcategoria;Anomalias do tamanho e da forma dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K003;subcategoria;Dentes manchados
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K004;subcategoria;Distúrbios na formação dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K005;subcategoria;Anomalias hereditárias da estrutura dentária não classificadas em outra parte
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K006;subcategoria;Distúrbios da erupção dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K007;subcategoria;Síndrome da erupção dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K008;subcategoria;Outros distúrbios do desenvolvimento dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K009;subcategoria;Distúrbio não especificado do desenvolvimento dentário
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K01;categoria;Dentes inclusos e impactados
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K010;subcategoria;Dentes inclusos
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K011;subcategoria;Dentes impactados
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K02;categoria;Cárie dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K020;subcategoria;Cáries limitadas ao esmalte
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K021;subcategoria;Cáries da dentina
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K022;subcategoria;Cárie do cemento
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K023;subcategoria;Cáries dentárias estáveis
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K024;subcategoria;Odontoclasia
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K028;subcategoria;Outras cáries dentárias
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K029;subcategoria;Cárie dentária, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K03;categoria;Outras doenças dos tecidos dentários duros
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K030;subcategoria;Atrito dentário excessivo
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K031;subcategoria;Abrasão dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K032;subcategoria;Erosão dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K033;subcategoria;Reabsorção patológica dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K034;subcategoria;Hipercementose
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K035;subcategoria;Ancilose dentária
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K036;subcategoria;Depósitos nos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K037;subcategoria;Alterações pós-eruptivas da cor dos tecidos duros dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K038;subcategoria;Outras doenças especificadas dos tecidos duros dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K039;subcategoria;Doença dos tecidos duros dos dentes, não especificada
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K04;categoria;Doenças da polpa e dos tecidos periapicais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K040;subcategoria;Pulpite
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K041;subcategoria;Necrose da polpa
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K042;subcategoria;Degeneração da polpa
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K043;subcategoria;Formação anormal de tecidos duros na polpa
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K044;subcategoria;Periodontite apical aguda de origem pulpar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K045;subcategoria;Periodontite apical crônica
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K046;subcategoria;Abscesso periapical com fístula
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K047;subcategoria;Abscesso periapical sem fístula
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K048;subcategoria;Cisto radicular
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K049;subcategoria;Outras doenças da polpa e dos tecidos periapicais e as não especificadas
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K05;categoria;Gengivite e doenças periodontais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K050;subcategoria;Gengivite aguda
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K051;subcategoria;Gengivite crônica
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K052;subcategoria;Periodontite aguda
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K053;subcategoria;Periodontite crônica
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K054;subcategoria;Periodontose
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K055;subcategoria;Outras doenças periodontais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K056;subcategoria;Doença periodontal, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K06;categoria;Outros transtornos da gengiva e do rebordo alveolar sem dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K060;subcategoria;Retração gengival
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K061;subcategoria;Hiperplasia gengival
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K062;subcategoria;Lesões da gengiva e do rebordo alveolar sem dentes, associadas a traumatismos
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K068;subcategoria;Outros transtornos especificados da gengiva e do rebordo alveolar sem dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K069;subcategoria;Transtorno da gengiva e do rebordo alveolar sem dentes sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K07;categoria;Anomalias dentofaciais (inclusive a maloclusão)
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K070;subcategoria;Anomalias importantes (major) do tamanho da mandíbula
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K071;subcategoria;Anomalias da relação entre a mandíbula com a base do crânio
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K072;subcategoria;Anomalias da relação entre as arcadas dentárias
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K073;subcategoria;Anomalias da posição dos dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K074;subcategoria;Maloclusão, não especificada
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K075;subcategoria;Anormalidades dentofaciais funcionais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K076;subcategoria;Transtornos da articulação temporomandibular
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K078;subcategoria;Outras anomalias dentofaciais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K079;subcategoria;Anomalia dentofacial, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K08;categoria;Outros transtornos dos dentes e de suas estruturas de sustentação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K080;subcategoria;Exfoliação dos dentes devida a causas sistêmicas
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K081;subcategoria;Perda de dentes devida a acidente, extração ou a doenças periodontais localizadas
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K082;subcategoria;Atrofia do rebordo alveolar sem dentes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K083;subcategoria;Raiz dentária retida
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K088;subcategoria;Outros transtornos especificados dos dentes e das estruturas de sustentação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K089;subcategoria;Transtorno dos dentes e de suas estruturas de sustentação, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K09;categoria;Cistos da região bucal não classificados em outra parte
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K090;subcategoria;Cistos odontogênicos de desenvolvimento
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K091;subcategoria;Cistos de desenvolvimento (não-odontogênicos) da região bucal
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K092;subcategoria;Outros cistos das mandíbulas
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K098;subcategoria;Outros cistos da região oral não classificados em outra parte
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K099;subcategoria;Cistos da região oral, sem outras especificações
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K10;categoria;Outras doenças dos maxilares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K100;subcategoria;Transtornos do desenvolvimento dos maxilares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K101;subcategoria;Granuloma central de células gigantes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K102;subcategoria;Afecções inflamatórias dos maxilares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K103;subcategoria;Alveolite maxilar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K108;subcategoria;Outras doenças especificadas dos maxilares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K109;subcategoria;Doença dos maxilares, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K11;categoria;Doenças das glândulas salivares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K110;subcategoria;Atrofia de glândula salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K111;subcategoria;Hipertrofia de glândula salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K112;subcategoria;Sialadenite
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K113;subcategoria;Abscesso de glândula salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K114;subcategoria;Fístula de glândula salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K115;subcategoria;Sialolitíase
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K116;subcategoria;Mucocele de glândula salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K117;subcategoria;Alterações da secreção salivar
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K118;subcategoria;Outras doenças das glândulas salivares
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K119;subcategoria;Doença de glândula salivar, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K12;categoria;Estomatite e lesões correlatas
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K120;subcategoria;Aftas bucais recidivantes
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K121;subcategoria;Outras formas de estomatite
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K122;subcategoria;Celulite e abscesso da boca
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K13;categoria;Outras doenças do lábio e da mucosa oral
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K130;subcategoria;Doenças dos lábios
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K131;subcategoria;Mordedura da mucosa das bochechas e dos lábios
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K132;subcategoria;Leucoplasia e outras afecções do epitélio oral, inclusive da língua
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K133;subcategoria;Leucoplasia pilosa
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K134;subcategoria;Lesões granulomatosas e granulomatóides da mucosa oral
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K135;subcategoria;Fibrose oral submucosa
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K136;subcategoria;Hiperplasia irritativa da mucosa oral
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K137;subcategoria;Outras lesões e as não especificadas da mucosa oral
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K14;categoria;Doenças da língua
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K140;subcategoria;Glossite
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K141;subcategoria;Língua geográfica
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K142;subcategoria;Glossite rombóide mediana
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K143;subcategoria;Hipertrofia das papilas linguais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K144;subcategoria;Atrofia das papilas linguais
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K145;subcategoria;Língua escrotal
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K146;subcategoria;Glossodínia
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K148;subcategoria;Outras doenças da língua
Capítulo XI - Doenças do aparelho digestivo;Doenças da cavidade oral, das glândulas salivares e dos maxilares;K149;subcategoria;Doença da língua, sem outra especificação
Capítulo XI - Doenças do aparelho digestivo;Doenças do esôfago, do estômago e do duodeno;K20;categoria;Esofagite
Capítulo XI - Doenças do aparelho digestivo;Doenças do esôfago, do estômago e do duodeno;K20;subcategoria;Esofagite
